"","Plot","SampleYear","Elevation","Slope","BurnScar","PRam","Fire","HostCwdMass","PlotCwdMass","DeadHostBiomass"
"227","BS383",2011,419,13,"dolan",1,0,48.6174487215924,48.6174487215924,50693.8752882506
"228","BS383",2014,419,13,"dolan",1,0,52.7665039772678,53.6013044384206,70086.9161883717
"229","BS383",2019,419,13,"dolan",1,0,89.1514801059168,89.9862805670696,NA
"230","BS383",2021,419,13,"dolan",1,1,8.52439757342664,8.60518624002295,97018.0513357917
"231","BS390",2018,328,27,"sober_chalk",1,1,5.63528224444343,6.48092665488621,114264.362476138
"232","BS390",2022,328,27,"sober_chalk",1,1,31.9168076942422,32.762452104685,24954.8687589843
"233","BS407",2009,680,24,"dolan",0,0,4.59127867257016,52.4215090907382,862.592640907628
"234","BS407",2010,680,24,"dolan",0,0,38.5801902423434,86.5092603996879,64392.1248166769
"235","BS407",2013,680,24,"dolan",0,0,31.5253080318251,38.8655735873577,54297.5748353948
"236","BS407",2018,680,24,"dolan",1,0,27.0022274309672,71.7753231985621,219.016302769474
"237","BS415",2011,491,25,"dolan",0,0,1.59180154060293,1.59180154060293,2810.34152810238
"238","BS415",2014,491,25,"dolan",1,0,49.3405059757843,49.3405059757843,2567.36091306408
"239","BS415",2019,491,25,"dolan",1,0,35.4675065110533,35.4675065110533,58823.8986950986
"240","BS415",2021,491,25,"dolan",1,1,44.4967542873723,44.4967542873723,4223.83400819246
"241","BS423",2021,106,41,"dolan_chalk",0,1,4.88575502482522,14.1332229381706,NA
