"","Plot","SampleYear","Species","TotalStem","LiveBiomass","Elevation","Slope","BurnScar","PRam","Fire"
"331","BS084",2010,"LIDE",14,39276.2203330144,432,36,"sober",1,0
"332","BS084",2010,"SESE",17,213727.124713371,432,36,"sober",1,0
"333","BS084",2013,"LIDE",19,19135.4758628059,432,36,"sober",1,0
"334","BS084",2013,"SESE",18,236340.061513588,432,36,"sober",1,0
"335","BS084",2018,"LIDE",1,2.172616656381,432,36,"sober",1,1
"336","BS084",2018,"SESE",47,164733.288385964,432,36,"sober",1,1
"337","BS084",2022,"LIDE",17,718.424094975893,432,36,"sober",1,1
"338","BS084",2022,"SESE",33,172930.504454617,432,36,"sober",1,1
"339","BS085",2006,"ARME",6,144729.04731569,505,30,"sober",1,0
"340","BS085",2006,"LIDE",9,1692.7881451434,505,30,"sober",1,0
"341","BS085",2006,"QUAG",3,23310.7300457952,505,30,"sober",1,0
"342","BS085",2006,"UMCA",4,20724.749749215,505,30,"sober",1,0
"343","BS085",2011,"ARME",6,157598.483796558,505,30,"sober",1,0
"344","BS085",2011,"LIDE",68,2731.63686342725,505,30,"sober",1,0
"345","BS085",2011,"QUAG",2,21386.4090011483,505,30,"sober",1,0
"346","BS085",2011,"UMCA",13,25059.8520873188,505,30,"sober",1,0
"347","BS085",2014,"ARME",6,161269.925160274,505,30,"sober",1,0
"348","BS085",2014,"LIDE",102,3984.40226716913,505,30,"sober",1,0
"349","BS085",2014,"QUAG",3,22553.88489716,505,30,"sober",1,0
"350","BS085",2014,"UMCA",17,28978.0588737217,505,30,"sober",1,0
"351","BS085",2019,"ARME",13,38023.2296200149,505,30,"sober",1,1
"352","BS085",2019,"LIDE",42,234.436455694884,505,30,"sober",1,1
"353","BS085",2019,"QUAG",2,19.0101203209089,505,30,"sober",1,1
